framework,dataset,model,n_params,epochs,train_seconds,train_loss,test_accuracy,precision_macro,recall_macro,f1_macro
Scratch (NumPy),Diabetes 130-US hospitals,MLP 179-128-64-3,31491,15,12.84,0.8231,0.6079033871659283,0.4748418725399812,0.3728677965866027,0.34621066999614886
TensorFlow/Keras,Diabetes 130-US hospitals,MLP 179-128-64-3,31491,15,12.77,0.8174,0.6076890095755324,0.4838966724811331,0.38422290983131074,0.3685920896608068
PyTorch,Diabetes 130-US hospitals,MLP 179-128-64-3,31491,15,20.89,0.8135,0.6105473774474774,0.5128792021096745,0.3859844455687498,0.3694382289752345
Scratch (NumPy),MNIST (10k subset),CNN 2conv+fc,20490,5,998.52,0.0525,0.981,0.9811539381742289,0.980918282437478,0.9809081556672492
TensorFlow/Keras,MNIST (10k subset),CNN 2conv+fc,20490,5,5.25,0.0665,0.974,0.9749879508633237,0.9738519678760721,0.9740457259370366
PyTorch,MNIST (10k subset),CNN 2conv+fc,20490,5,2.15,0.0568,0.9835,0.983848504085921,0.9834538289632349,0.9835648613002886
PyTorch,MNIST (full 60k),CNN 2conv+fc,20490,5,9.72,0.0297,0.987,0.9870474555881131,0.9869706387400623,0.9869581113190927
TensorFlow/Keras,MNIST (full 60k),CNN 2conv+fc,20490,5,45.09,0.0272,0.9865,0.9864934176497056,0.9863925859802103,0.9863898493617296
Scratch (NumPy),CIFAR-10 (5k subset),SmallCNN,545098,5,1495.13,1.0495,0.512,0.5300959962848328,0.5139663917718339,0.5118084745716909
TensorFlow/Keras,CIFAR-10 (5k subset),SmallCNN,545098,5,16.09,0.779,0.545,0.5679589933174518,0.54636693305695,0.5380325622360631
PyTorch,CIFAR-10 (5k subset),SmallCNN,545098,5,3.1,0.9803,0.529,0.5640489504424522,0.5358589020387906,0.5238250792850364
PyTorch,CIFAR-10 (full 50k),SmallCNN,545098,5,17.67,0.549,0.7184,0.7246258273897298,0.7183999999999999,0.7166671114764633
TensorFlow/Keras,CIFAR-10 (full 50k),SmallCNN,545098,5,133.12,0.4958,0.7011,0.7075384576638613,0.7011000000000001,0.6971510707680277
PyTorch,CIFAR-10 (full 50k),M1  Conv+ReLU+Pool,72730,10,19.49,0.8074,0.6955,0.7136,0.6955,0.7001
PyTorch,CIFAR-10 (full 50k),M2  + BatchNorm,72954,10,22.05,0.4579,0.7486,0.7741,0.7486,0.7483
PyTorch,CIFAR-10 (full 50k),M3  + Residual,75786,10,27.56,0.4479,0.7574,0.7917,0.7574,0.7634
PyTorch,CIFAR-10 (full 50k),M4  + Attention(SE),78614,10,38.27,0.4335,0.7525,0.7847,0.7525,0.7557
